"Data last updated by May 22, 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note: The credit issuance numbers below includes original and non-original issuances. Annual credit issuance numbers of governmental mechanisms are mostly based on self-reported numbers and may not align with self-reported cumulative numbers due to gaps in the data.,,,,,,,,,,,,,,,,,,,,,,,
Mechanism,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Alberta Emission Offset System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4011000.0,4463000.0,5057000.0,4866000.0,3618000.0,8400000.0,393000.0,6400000.0,7799074.0,6922604.0
American Carbon Registry,125000.0,0.0,500.0,2880358.0,11027146.0,5847510.0,7938812.0,6245281.0,171069.0,519754.0,4115915.0,1676242.0,4287042.0,8732794.0,27095713.0,47983817.0,12048989.0,14229468.0,28693311.0,17563259.0,29322192.0,37355459.0,44657782.0
Australian Carbon Credit Unit Scheme (ACCU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,3900000.0,7600000.0,7900000.0,13100000.0,12200000.0,12400000.0,14800000.0,16100000.0,17100000.0,17700000.0,17200000.0,18784758.0
Beijing Certified Emission Reduction Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149665.0
British Columbia Offset Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768150.0,3119145.0,205507.0,2107083.0,1356296.0,1210721.0,4835135.0,1930665.0,587428.0
California Compliance Offset Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268680.0,10983823.0,19561213.0,19776011.0,32732903.0,54732348.0,26541225.0,45543188.0,17409784.0,11565096.0,13797604.0,10811900.0
Chile Green Tax Emissions Offsetting Scheme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258547.0
China GHG Voluntary Emission Reduction Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,28000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chongqing carbon offset mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,350000.0000000001,365198.0,0.0
Clean Development Mechanism,0.0,0.0,0.0,103732.0,25688774.0,76688338.0,137874364.0,123427031.0,132396048.0,319516481.0,339393698.0,265350749.0,103956913.0,122563467.0,130442400.0,123832242.0,78732685.0,50995101.0,70930939.0,101017026.0,150463412.0,78434478.0,18219586.0
Climate Action Reserve,0.0,0.0,0.0,0.0,0.0,0.0,426862.0,1895410.0,7890136.0,9765382.0,10734499.0,12875064.0,13101763.0,16461305.0,13591251.0,16026345.0,18886550.0,18887796.0,19209838.0,9928909.0,15335659.0,13470477.0,23834810.0
Colombia Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fujian Forestry Offset Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073000.0,0.0,767000.0,160000.0,330000.0,0.0,0.0,0.0
Gold Standard,0.0,0.0,0.0,0.0,0.0,0.0,819181.0,1096855.0,2678915.0,3550246.0,6325653.0,9234923.0,11566088.0,9761633.0,9977870.0,9903784.0,14752846.0,11900040.0,24520566.0,28186285.0,33651253.0,56155334.0,77179643.0
Guangdong Pu Hui Offset Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242000.0,605000.0,210000.0,600000.0,278000.0,0.0,143804.0,571753.0
J-Credit Scheme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4767.0,393234.0,283599.0,1262962.0,962724.0,1693358.0,1053235.0,589898.0,925475.0,1008816.0,1119003.0,1746470.0
Joint Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,9253.0,12068.0,5719.0,62114.0,486.0,36172.0,612525.0,16077.0
Joint Implementation,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,5995089.0,30954580.0,93521168.0,526192335.0,183715664.0,31138841.0,255952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11697.0,0.0,0.0,1157.0,1341.0,0.0,77749.0,0.0,1691540.0,2228606.0
Plan Vivo,46679.0,48755.0,36756.0,55081.0,56178.0,90872.0,34712.0,121032.0,44786.0,209161.0,165507.0,370224.0,177556.0,218453.0,359515.0,283270.0,293717.0,426709.0,678521.0,1309963.0,1757129.0,2832155.0,9701329.0
Quebec Offset Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177661.0,333079.0,53253.0,114190.0,85234.0,113309.0,175674.0,251534.0,177747.0,289850.0
Republic of Korea Offset Credit Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7102025.0,7692528.0,4793438.0,4478507.0,3109352.0,3344838.0,5197248.0,8009231.0,7602711.0,1903831.0
RGGI CO2 Offset Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14514.960000000001,15422.145000000002,13607.775,4535.925,0.0,0.0,0.0,0.0
Saitama Forest Absorption Certification System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,201.2,0.0,0.0
Saitama Target Setting Emissions Trading System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5660000.0,0.0,0.0,0.0,0.0,8530000.0,0.0,0.0,0.0,0.0
Sakhalin Oblast Pilot crediting mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0
South Africa Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4509961.0,5652599.0,3058849.0,1488128.0,3990362.0
Spain FES-CO2 Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5821.0,45790.0,96166.0,202581.0,313501.0,517605.0,734856.0,841985.0,859029.0,580216.0,224490.0,99824.0
Sri Lanka Carbon Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6555.0,1051.0,133.0
Switzerland CO2 Attestations Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3636481.0,586263.0,697424.0,834041.0,1065773.0,1315071.0,1372085.0,1498382.0,1499414.0,1311959.0,658.0,0.0
Taiwan Voluntary GHG Reduction Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12410000.0,151281.0,0.0,2141960.0
Thailand Voluntary Emission Reduction Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339537.0,287124.0,766632.0,583141.0,1777132.0,2258361.0,3551073.0,4412436.0,3058737.0,4402796.0
Tokyo Cap-and-Trade Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,39000.0,219000.0,558000.0,1600000.0,6829000.0,867000.0,169000.0,268000.0,216000.0,11000000.0,265000.0,54000.0,115000.0
UK Woodland Carbon Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
Verified Carbon Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20591856.0,24014316.0,24153406.0,33844512.0,28742372.0,17939993.0,20401187.0,18137466.0,43489634.0,49565842.0,118848834.0,140374473.0,295083465.0,201569455.0,148384227.0,105102149.0
Washington Crediting Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249136.0,61130.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
